article_id,Product_Name,Colour,Gender,Description
145872001,Sweater,Black,Sport,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
145872037,Sweater,Dark Grey,Sport,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
145872043,Sweater,White,Sport,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
145872052,Sweater,Dark Blue,Sport,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
145872053,Sweater,Dark Grey,Sport,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
189691033,Sweater,Black,Divided,Long-sleeved top in sweatshirt fabric with ribbing at the cuffs and hem.
189691044,Sweater,Grey,Divided,Long-sleeved top in sweatshirt fabric with ribbing at the cuffs and hem.
189691051,Sweater,Greenish Khaki,Divided,Long-sleeved top in sweatshirt fabric with ribbing at the cuffs and hem.
189691063,Sweater,Dark Pink,Divided,Long-sleeved top in sweatshirt fabric with ribbing at the cuffs and hem.
189691067,Sweater,Light Orange,Divided,Long-sleeved top in sweatshirt fabric with ribbing at the cuffs and hem.
189691075,Sweater,Greenish Khaki,Divided,Long-sleeved top in sweatshirt fabric with ribbing at the cuffs and hem.
225286014,Sweater,Black,Sport,"Running jacket with front and shoulder sections in windproof functional fabric, ventilating mesh sections in the sides, a small stand-up collar and zip down the front. Thumbholes at the cuffs, reflective details, and a rounded hem. Slightly longer at the back. Brushed thermal inside. Tight fit."
233672016,Sweater,Dark Blue,Menswear,"Long-sleeved, V-neck T-shirt in stretch cotton-blend jersey. Slim fit."
244267001,Sweater,Dark Blue,Ladieswear,Purl-knit jumper in a cotton blend with a slightly wider neckline and 3/4-length sleeves.
244267004,Sweater,White,Ladieswear,Purl-knit jumper in a cotton blend with a slightly wider neckline and 3/4-length sleeves.
244267017,Sweater,Light Pink,Ladieswear,Purl-knit jumper in a cotton blend with a slightly wider neckline and 3/4-length sleeves.
244267021,Sweater,Light Blue,Ladieswear,Purl-knit jumper in a cotton blend with a slightly wider neckline and 3/4-length sleeves.
244267027,Sweater,Dark Beige,Ladieswear,Purl-knit jumper in a cotton blend with a slightly wider neckline and 3/4-length sleeves.
244267028,Sweater,Dark Blue,Ladieswear,Purl-knit jumper in a cotton blend with a slightly wider neckline and 3/4-length sleeves.
244267029,Sweater,Light Pink,Ladieswear,Purl-knit jumper in a cotton blend with a slightly wider neckline and 3/4-length sleeves.
181160009,Boots,Yellowish Brown,Divided,Chelsea boots with elasticated gores in the sides and rubber soles.
258650001,Boots,Black,Divided,"Ankle boots in imitation suede with elastic gores in the sides, fabric linings and insoles and rubber soles. Heel 6.5 cm."
320880001,Boots,Yellowish Brown,Divided,"Ankle boots in suede with a loop at the top of each side, warm pile lining and insoles and rubber soles."
331072001,Boots,Black,Menswear,"Chelsea boots with elastic gores in the sides, cotton canvas linings and insoles and rubber soles. Heel 2.5 cm."
331072005,Boots,Black,Menswear,"Chelsea boots with elastic gores in the sides, cotton canvas linings and insoles and rubber soles. Heel 2.5 cm."
401729001,Boots,Black,Divided,"Ankle boots with lacing at the front, a loop at the back, fabric linings, imitation leather insoles and chunky rubber soles. Platform front 2 cm, heel 4.5 cm."
401729003,Boots,Light Orange,Divided,"Ankle boots with lacing at the front, a loop at the back, fabric linings, imitation leather insoles and chunky rubber soles. Platform front 2 cm, heel 4.5 cm."
420049002,Boots,Beige,Ladieswear,
420049003,Boots,Dark Yellow,Ladieswear,
453828001,Boots,Black,Divided,"Ankle boots with open sections at the sides, a loop at the back and adjustable straps with studs, concealed elastication and a metal buckle. Canvas linings and insoles and rubber soles. Heel 4 cm."
453828003,Boots,Beige,Divided,"Ankle boots with open sections at the sides, a loop at the back and adjustable straps with studs, concealed elastication and a metal buckle. Canvas linings and insoles and rubber soles. Heel 4 cm."
458032003,Boots,Black,Ladieswear,"Ankle boots with a zip in one side and a loop at the back. Satin linings, imitation leather insoles and rubber soles. Heel approx. 6.5 cm."
478943001,Boots,Black,Divided,Chelsea boots in imitation leather with elastic gores in the side and a loop at the back. Fabric linings and insoles and rubber soles. Heel 2.5 cm.
478943003,Boots,Dark Red,Divided,Chelsea boots in imitation leather with elastic gores in the side and a loop at the back. Fabric linings and insoles and rubber soles. Heel 2.5 cm.
